State,Districts,Population,Pop per district,Poverty Rate
Andaman and Nicobar Islands,3,380581,126860,1
Andhra Pradesh,13,49386799,3798985,9.2
Arunachal Pradesh,25,1383727,57656,34.67
Assam,33,31169272,944523,31.98
Bihar,38,104099452,2739459,33.74
Chandigarh,1,1055450,1055450,21.81
Chhattisgarh,28,25545198,946118,39.93
Dadra and Nagar Haveli and Daman and Diu,3,586956,195652,32.46
Delhi,11,16787941,1526176,9.91
Goa,2,1458545,729273,5.09
Gujarat,33,60439692,1831506,16.63
Haryana,22,25351462,1152339,11.16
Himachal Pradesh,12,6864602,572050,8.06
Jammu and Kashmir,20,1247953,311988,10.31
Jharkhand,24,32988134,1374506,36.96
Karnataka,30,61095297,2036510,20.91
Kerala,14,33406061,2386147,7.05
Ladakh,2,1247953,311988,10.31
Lakshadweep,1,64473,64473,2.77
Madhya Pradesh,55,72626809,1396669,31.65
Maharashtra,36,112374333,3121509,17.35
Manipur,16,2721756,170110,36.89
Meghalaya,11,2966889,269717,11.87
Mizoram,11,1097206,137151,20.4
Nagaland,12,1978502,179864,18.88
Odisha,30,41974218,1399141,32.59
Puducherry,4,1247953,311988,9.69
Punjab,22,27743338,1261061,8.26
Rajasthan,33,68548437,2077225,14.71
Sikkim,4,610577,152644,8.19
Tamil Nadu,38,72147030,2254595,11.28
Telangana,33,35193978,1135290,8.83
Tripura,8,3673917,459240,14.05
Uttar Pradesh,75,199812341,2664165,29.43
Uttarakhand,13,10086292,775869,11.26
West Bengal,23,91276115,3968527,19.98
